gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
BOS202303300,gibsk002,BAL,1,value,15,2,21,6,1,1,0,4,4,1,0,3,1,0,0,0,0,0,0,0,1,,,1,,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,akink001,BAL,2,value,3,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,perec004,BAL,3,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,bakeb001,BAL,4,value,2,0,6,2,1,0,0,3,3,1,0,1,1,0,0,0,1,0,0,0,,,,,,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,gilll001,BAL,5,value,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,bautf001,BAL,6,value,3,0,6,2,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,,,1,,1,,20230330,0,BOS07,v,BOS,1,0,0,regular,y,y
BOS202303300,klubc001,BOS,1,value,10,0,19,6,2,0,2,5,5,4,0,4,0,0,0,0,0,1,0,0,,1,,1,,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
BOS202303300,kellz001,BOS,2,value,2,0,4,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,,,,,,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
BOS202303300,brasr001,BOS,3,value,3,0,7,2,0,0,0,3,3,2,0,0,1,1,0,0,0,3,0,0,,,,,,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
BOS202303300,ort-k001,BOS,4,value,6,0,9,4,1,0,0,2,2,0,0,1,0,0,0,1,0,1,0,0,,,,,,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
BOS202303300,wincj001,BOS,5,value,3,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
BOS202303300,martc007,BOS,6,value,3,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,20230330,0,BOS07,h,BAL,0,1,0,regular,y,y
CHN202303300,burnc002,MIL,1,value,15,0,23,4,0,0,0,4,4,3,0,3,1,0,0,0,0,0,0,0,,1,,1,,,20230330,0,CHI11,v,CHN,0,1,0,regular,y,y
CHN202303300,strzp001,MIL,2,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20230330,0,CHI11,v,CHN,0,1,0,regular,y,y
CHN202303300,varlg001,MIL,3,value,3,0,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,20230330,0,CHI11,v,CHN,0,1,0,regular,y,y
CHN202303300,guerj004,MIL,4,value,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,1,,20230330,0,CHI11,v,CHN,0,1,0,regular,y,y
